SKU,Size,Order Code,Model #,Description,Trend Description,Quantity,Cnt Qty,Price, CAD Net Price ,Multiplier, USD List Price , USD Net Price ,Weight (lbs),Notes
3330127,"4""",111536,757 BFG,,757BFG 4 DBL CHK BFP,,,1295.31,,,,,,
3330128,"6""",111537,757 BFG,,757BFG 6 DBL CHK BFP,,,1752.27,,,,,,
3330334,"8""",111514,757 OSY,,757OSY 8 DBL CHK BFP,,,3911.33,,,,,480,
3330371,"6""",111587,957 OSY,,957OSY 6 RED PRESS BFP,,,2845.11,,,,,,
3343159,"4""",,4-350AOSY,"4"" 350 DBL CHK BFP W/ OS&Y",350AOSY 4 DBL CHK BFP NL,,,1225.33,,,,,230,DI body only
3343160,"6""",,6-350AOSY,"6"" 350 DBL CHK BFP W/ OS&Y",350AOSY 6 DBL CHK BFP NL,,,1781.72,,,,,362,DI body only
3345556,"10""",,10-350ADA,"10"" 350 DBL CHK BFP ADA",350ADALM 10 DBL CHK BFP,,,6270.8,,,,,1040,
3349187,"4""",,4-350ADA,"4"" 350 DBL CHK BFP ADA",350ADALM 4 DBL CHK BFP,,,1535.81,,,,,245,
3349188,"6""",,6-350ADA,"6"" 350 DBL CHK BFP ADA",350ADALM 6 DBL CHK BFP,,,2269.91,,,,,377,
3349189,"8""",,8-350ADA,"8"" 350 DBL CHK BFP ADA",350ADALM 8 DBL CHK BFP,,,4200.49,,,,,778,
3349288,"4""",,4-350A,"4"" 350 DBL CHK BFP W/ NRS",350ANRS 4 DBL CHK BFP NL,,,1235.13,,,,,220,DI body only
3349289,"6""",,6-350A,"6"" 350 DBL CHK BFP W/ NRS",350ANRS 6 DBL CHK BFP NL,,,1781.72,,,,,346,DI body only
3349290,"8""",,8-350A,"8"" 350 DBL CHK BFP W/ NRS",350ANRS 8 DBL CHK BFP NL,,,3851.82,,,,,738,DI body only
3349291,"8""",,8-350AOSY,"8"" 350 DBL CHK BFP W/ OS&Y",350A0SY 8 DBL CHK BFP NL,,,4237,,,,,762,DI body only
3349310,"3/4""",,3/4-350,"3/4"" 350 DBL CHK BFP",350 3/4 DBL CHK BFP,,,100.8,,,,,,DI body only
3349314,"2""",,2-350XL,"2"" 350 DBL CHK BFP - (cartridge style) W/ BALL VLVS - leaded",350 2 DBL CHK BFP,,,329.97,,,,,,DI body only
4572880,,,,CEILING BRACKET,ALUM CEIL BRKT F/LADDER,2,,50,,,,,,"Sell for: $450.00 (3FT - 10FT), $20.00 per foot over 10FT"
4572881,,,,WALL BRACKET,ALUM WALL BRKT F/LADDER,2,,50,,,,,,extra brackets are extra as per the costs to the left
4750001,"4""",,,"4"" CS LUG",4 LUG ASSM,,,19.42,,,,,,
4750002,"6""",,,"6"" CS LUG",6 LUG ASSM,,,21.47,,,,,,
4750003,"8""",,,"8"" CS LUG",8 LUG ASSM,,,23.3,,,,,,
4750004,"10""",,,"10"" CS LUG",10 LUG ASSM,,,22.84,,,,,,
4750005,"12""",,,"12"" CS LUG",12 LUG ASSM,,,23.5,,,,,,
4750006,"24""",,,"24"" CS LUG",24 LUG ASSM,,,34,,,,,,
4750007,"14""",,,"14"" CS LUG",14 LUG ASSM,,,,,,,,,
4750115,6FT,,,6FT SAFETY GRATE,12 X 2 6H 13GA GALV SFTY GRT,5FT,,38,,,,,,
4750115,1FT,,,1FT SAFETY GRATE,12 X 2 6H 13GA GALV SFTY GRT,1FT,,6.25,,,,,,
4750670,"4"" - 8""",,,"4"" - 8"" CS LUG",SML LUG ASSM 4 -8,,,,,,,,,
4750671,"10"" - 18""",,,"10"" - 18"" CS LUG",MED LUG ASSM 10-18,,,,,,,,,
4750672,"20"" - 42""",,,"20"" - 42"" CS LUG",LRG LUG ASSM 20-42,,,,,,,,,
6050016,"36""",,LS575,"36"" LS575",LS575C LINK SEAL,40,,817.44,,,,,,
6050016,"30""",,LS575,"30"" LS575",LS575C LINK SEAL,32,,653.95,,,,,,
6050016,"18""",,LS575,"18"" LS575",LS575C LINK SEAL,20,,408.72,,,,,,
6050016,"16""",,LS575,"16"" LS575",LS575C LINK SEAL,18,,367.85,,,,,,
6050016,"14""",,LS575,"14"" LS575",LS575C LINK SEAL,16,,326.98,,,,,,
6050042,"16""",,LS360,"16"" LS360",LS360C LINK SEAL,27,,310.64,,,,,,
6050042,"14""",,LS360,"14"" LS360",LS360C LINK SEAL,24,,276.12,,,,,,
6050042,"12""",,LS360,"12"" LS360",LS360C LINK SEAL,21,,241.61,,,,,,
6050042,"8""",,LS360,"8"" LS360",LS360C LINK SEAL,15,,172.58,,,,,,
6050043,"8""",,LS410,"8"" LS410",LS410C LINK SEAL,12,,138.06,,,,,,
6050043,"6""",,LS410,"6"" LS410",LS410C LINK SEAL,10,,115.05,,,,,,
6050043,"6""",,LS410,"6"" LS410",LS410C LINK SEAL,9,,103.55,,,,,,
6050043,"4""",,LS410,"4"" LS410",LS410C LINK SEAL,7,,80.54,,,,,, 
6050054,"4""",,LS300,"4"" LS300",LS300C LINK SEAL,10,,35.43,,,,,,
6050054,"2""",,LS300,"2"" LS300",LS300C LINK SEAL,6,,21.26,,,,,, 
6050056,"12""",,LS400,"12"" LS400",LS400C LINK SEAL,12,,138.06,,,,,,
6050056,"10""",,LS400,"10"" LS400",LS400C LINK SEAL,10,,115.05,,,,,,
6050056,"10""",,LS400,"10"" LS400",LS400C LINK SEAL,10,,115.05,,,,,,
6050056,"8""",,LS400,"8"" LS400",LS400C LINK SEAL,9,,103.55,,,,,,
6050056,"6""",,LS400,"6"" LS400",LS400C LINK SEAL,7,,80.54,,,,,,
6050058,"24""",,LS475,"24"" LS475",LS475C LINK SEAL,31,,356.66,,,,,,
6050058,"20""",,LS475,"20"" LS475",LS475C LINK SEAL,26,,299.13,,,,,,
6050058,"12""",,LS475,"12"" LS475",LS475C LINK SEAL,17,,195.59,,,,,,
6050058,"10""",,LS475,"10"" LS475",LS475C LINK SEAL,14,,161.07,,,,,,
6050058,"8""",,LS475,"8"" LS475",LS475C LINK SEAL,12,,138.06,,,,,,
6050058,"6""",,LS475,"6"" LS475",LS475C LINK SEAL,10,,115.05,,,,,,
6050058,"4""",,LS475,"4"" LS475",LS475C LINK SEAL,7,,80.54,,,,,,
6050059,"10""",,LS500,"10"" LS500",LS500C LINK SEAL,11,,224.8,,,,,,
6440059,"5/8""",,,"5/8"" SRII MTR HOUSING KIT",MEM45 TR/PL HOUSING ASS M,,,15.35,,,,,,
6450120,"4""",,501,"4"" ROMAC 501",4 501 481x481x5 DI & ST FE CPLG,,,,113.19,0.37,218.51,80.85,,
6450123,"6""",,501,"6"" ROMAC 501",6 501 691x691x5 DI & ST FE CPLG,,,,151.45,0.37,292.38,108.18,,check $$ w/ supplier - trend is lower - last purchase early 2018
6450124,"8""",,501,"8"" ROMAC 501",8 501 906x906x5 DI & ST FE CPLG,,,,,,,,,
6450180,"4""",,,"4"" MACRO",4 MACRO DI CPLG 440-560,,,,213.73,0.47,324.82,152.67,28,
6450185,"6""",,,"6"" MACRO",6 MACRO DI CPLG 660-760,,,,282.06,0.47,428.66,201.47,34,
6450190,"8""",,,"8"" MACRO",8 MACRO DI CPLG 860-975,,,,319.41,0.47,485.42,228.15,36,
6450195,"10""",,,"10"" MACRO",10 MACRO DI CPLG 1070-1190,,,,413.16,0.47,627.9,295.11,57,
6450196,"10""",,,"10"" MACRO",10 MACRO DI CPLG 1100-1220,,,,,,,,59,
6458780,"2""",,,"2"" MACRO",2 MACRO DI CPLG 1.12-2.55,,,,126.51,0.47,192.26,90.36,9,
6458781,"3""",,,"3"" MACRO",3 MACRO DI CPLG 3.13-3.63,,,,165.99,0.47,252.26,118.56,12,
6459748,"3""",,501,"3"" ROMAC 501",3 501 351x351x5 STL CPLG,,,,,,,,,
6459921,"4""",,501,"4"" ROMAC 501",4 501 481x5 DI & ST SSFE CPLG,,,,,,,,,
6459922,"6""",,501,"6"" ROMAC 501",6 501 691x5 DI & ST SSFE CPLG,,,,,,,,,
6459923,"8""",,501,"8"" ROMAC 501",8 501 906x5 DI & ST SSFE CPLG,,,,,,,,,
6460036,,,,LIFTING CLUTCH - 3-5 TONNE,MH LIFTING CHAINS CSA/PR,,,240,,,,,3,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,4,,77.2,,,,,,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,3,,57.9,,,,,11,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,3,,57.9,,,,,11,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,3,,57.9,,,,,11,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,3,,57.9,,,,,11,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,3,,57.9,,,,,11,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,2,,38.6,,,,,7,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,2,,38.6,,,,,7,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,2,,38.6,,,,,7,
6460171,,,20405,1.2M SERVICE VAULT CONSEAL,,,,23.1,,,,,5,
6460171,,,20405,1.5M SERVICE VAULT CONSEAL,,,,23.1,,,,,5,
6460171,,,20405,CONSEAL,,,,23.1,,,,,5,
6460171,,,20405,CONSEAL,,,,23.1,,,,,5,
6460171,,,20405,CONSEAL,,,1,21.4,,,,,1,
6460171,,,VCZZ-ZZ-ZZZZ,MASTIC,,1,,19.3,,,,,4,"2 for 2121, 2122, 1818 & 2221. 3 for 251815, 3151, 3152, 331822, 332120, 302610 & 4212. 4 for 4712, 472125, 472130 & 473030"
6490240,"3""",,,"3"" OMNI C2 MTR",3 C2 OMNI MTR W/ INT STRNR,,,2497.8,,,,,72.8,
6490241,"4""",,,"4"" OMNI C2 MTR",4 C2 OMNI MTR W/ INT STRNR,,,4338.3,,,,,72.8,
6490348,"5/8"" x 3/4""",,,"5/8"" x 3/4"" SRII MTR",5/8 x 3/4 SRII TRPL MTR w/ TP M3,,,195.64,,,,,,
6490594,"3""",,,"3"" CS THRUST RING",3 THRUST RING,,,15.8,,,,,,
6490595,"4""",,,"4"" CS THRUST RING",4 THRUST RING,,,17.8,,,,,,
6490596,"6""",,,"6"" CS THRUST RING",6 THRUST RING,,,30,,,,,,estimate
6490597,"8""",,,"8"" CS THRUST RING",8 THRUST RING,,,46.5,,,,,,
6490598,"10""",,,"10"" CS THRUST RING",10 THRUST RING,,,60,,,,,,estimate
6490599,"12""",,,"12"" CS THRUST RING",12 THRUST RING,,,80,,,,,,estimate
6490601,"14""",,,"14"" CS THRUST RING",14 THRUST RING,,, QU ,,,,,,
6490602,"16""",,,"16"" CS THRUST RING",16 THRUST RING,,, QU ,,,,,,
6490603,"18""",,,"18"" CS THRUST RING",18 THRUST RING,,, QU ,,,,,,
6490605,"20""",,,"20"" CS THRUST RING",20 THRUST RING,,, QU ,,,,,,
6490606,"24""",,,"24"" CS THRUST RING",24 THRUST RING,,, QU ,,,,,,
6490607,"30""",,,"30"" CS THRUST RING",30 THRUST RING,,, QU ,,,,,,
6491374,"1-1/2""",,,"1-1/2"" OMNI C2 MTR",1-1/2 C2 OMNI MTR W/ INT STRNR,,,1678,,,,,22.5,
6491375,"2""",,,"2"" OMNI C2 MTR",2 C2 OMNI MTR W/ INT STRNR,,,1845.34,,,,,32.5,
6491755,"3""",,,"3"" SS THRUST RING",3 THRUST RING SS,,,40,,,,,,
6491756,"4""",,,"4"" SS THRUST RING",4 THRUST RING SS,,,60,,,,,,
6491757,"6""",,,"6"" SS THRUST RING",6 THRUST RING SS,,,80,,,,,,
6491758,"8""",,,"8"" SS THRUST RING",8 THRUST RING SS,,,100,,,,,,
6491759,"10""",,,"10"" SS THRUST RING",10 THRUST RING SS,,,113,,,,,,
6491760,"12""",,,"12"" SS THRUST RING",12 THRUST RING SS,,,140,,,,,,
6491762,"16""",,,"16"" SS THRUST RING",16 THRUST RING SS,,, QU ,,,,,,
6491765,"24""",,,"24"" SS THRUST RING",24 THRUST RING SS,,, QU ,,,,,,
6495182,"5/8"" x 3/4""",,,"5/8 x 3/4"" T10 MTR",5/8 x 3/4 T10 MTR M3 E/CDR R900i,,,543.7,,,,,,
6495185,"1-1/2""",,,"1-1/2"" T10 MTR",1-1/2 T10 MTR M3 E/CDR R900I,,,,,,,,,
6495186,"2""",,,"2"" T10 MTR",2 T10 MTR M3 E/CDR R900i,,,1010.6,,,,,,
6498002,"1-1/2""",,,"1-1/2"" SS THRUST RING",1-1/2 THRUST RING SS,,,25.5,,,,,,
6498003,"2""",,,"2"" SS THRUST RING",2 THRUST RING SS,,,28.75,,,,,,
6498021,"3""",,,"3"" SS LUG 304",3 LUG 304 SS,,,,,,,,,
6498022,"4""",,,"4"" SS LUG 304",4 LUG 304 SS,,,42,,,,,,
6498023,"6""",,,"6"" SS LUG 304",6 LUG 304 SS,,,53,,,,,,
6498024,"8""",,,"8"" SS LUG 304",8 LUG 304 SS,,,53.25,,,,,,
6498025,"10""",,,"10"" SS LUG 304",10 LUG 304 SS,,,58.25,,,,,,
6498026,"12""",,,"12"" SS LUG 304",12 LUG 304 SS,,,60.5,,,,,,
6498027,"14""",,,"14"" SS LUG 304",14 LUG 304 SS,,, - ,,,,,,
6512952,"2""",,H-10129N,"2"" MUELLER MTR FLNG ADPT",H-10129N 2 MUELLER METER FLG FIP LLB,1,,60,,,,,,sold as each - added June 2019
6520262,"4""",,,"4"" 7506 FLG CPLG ADAPT",4 7506 FLG CPLG ADPT 440-460,,,217.09,,,,,19,
6520266,"8""",,,"8"" 7506 FLG CPLG ADAPT",8 7506 FLG CPLG ADPT 855-875,,,336.2,,,,,38,
6520860,"12""",,,"12"" DI EXT CPLG",12 1506 1290x1360 CPLG D4-B2,,,380.08,,,,,74,
6520960,"4""",,,"4"" ROBAR DJ",4 7506DJ DISMAN JNT EC/SS,,,271,,,,,28.3,
6520961,"6""",,,"6"" ROBAR DJ",6 7506DJ DISMAN JNT EC/SS,,,395.65,,,,,41.1,
6520962,"8""",,,"8"" ROBAR DJ",8 7506DK DISMAN JNT EC/SS,,,498.92,,,,,54.3,
6520963,"10""",,,"10"" ROBAR DJ",10 7506DJ DISMAN JNT EC/SS,,,890.6,,,,,87.5,
6520964,"12""",,,"12"" ROBAR DJ",12 7506DJ DISMAN JNT EC/SS,,,1054.47,,,,,112.2,
6524629,"4""",,,"4"" DI EXT CPLG",4 1506 460x510 CPLG D3-A1,,,123.69,,,,,20,pricing inline with 2017
6524630,"6""",,,"6"" DI EXT CPLG",6 1506 670x710 CPLG D3-A1,,,181.06,,,,,33,
6524632,"8""",,,"8"" DI EXT CPLG",8 1506 875x930 CPLG D3-A1,,,220.23,,,,,39,
6524634,"10""",,,"10"" DI EXT CPLG",10 1506 1090x1140 CPLG D4-B2,,,356,,,,,59,
6524640,"16""",,,"16"" DI EXT CPLG",16 1506 1780x1820 CPLG B2-A1,,,971.35,,,,,,
6530103,"12""",,,"12"" UFR 1360C",12 UFR1360C JOINT RSTRNR IMP,,,   ,,,,,,
6530131,"4""",,,"4"" MEGA FLG ADPT",4 MEGA FLG ADPT,,,113,,,,,,
6530132,"6""",,,"6"" MEGA FLG ADPT",6 MEGA FLG ADPT,,,165,,,,,,
6530133,"8""",,,"8"" MEGA FLG ADPT",8 MEGA FLG ADPT,,,261,,,,,,
6530443,"4""",,,"4"" UFR 1300C",4 UFR1300C RSTRNR W/17 R IMP,,,61,,,,,,
6530444,"6""",,,"6"" UFR 1300C",6 UFR1300C RSTRNR W/17 R IMP,,,72,,,,,,
6530454,"4""",,,"4"" UFR 1390C",,,,,,,,,,
6530455,"6""",,,"6"" UFR 1390C",,,,,,,,,,
6530456,"8""",,,"8"" UFR 1390C",,,,,,,,,,
6530457,"10""",,,"10"" UFR 1390C",,,,,,,,,,
6530458,"12""",,,"12"" UFR 1390C",,,,,,,,,,
6530791,"8""",,,"8"" DI 90",8x90 DI TYT BEND,,,303.55,,,,,,
6530827,"4""",,,"4"" DI TEE",4 DI TYT TEE,,,70.63,,,,,,
6530828,"6""",,,"6"" DI TEE",6 DI TYT TEE,,,184.84,,,,,,
6530829,"8""",,,"8"" DI TEE",8 DI TYT TEE,,,368.48,,,,,,
6532531,"4""",,,"4"" RFAP",4 RFAP RSTRNT FCS 4.21-4.80,,,116,,,,,,
6532532,"6""",,,"6"" RFAP",6 RFAP RSTRNT FCA 6.27-6.90,,,165,,,,,,
6532533,"8""",,,"8"" RFAP",8 RFAP RSTRNT FCA 8.40-9.05,,,259,,,,,,
6532534,"10""",,,"10"" RFAP",10 RFAP RSTRNT FCA 10.50-11.10,,,374,,,,,,
6532535,"12""",,,"12"" RFAP",12 RFAP RSTRNT FCA 12.5-13.20,,,457,,,,,,
6533363,"4""",,,"4"" RCPP",4 RCPP RSTRNT CPLG 480,,,151.15,,,,,41,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533364,"6""",,,"6"" RCPP",6 RCPP RSTRNT CPLG 690,,,210.6,,,,,59,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533365,"8""",,,"8"" RCPP",8 RCPP RSTRNT CPLG 905,,,252.88,,,,,72,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533368,"8""",,,"8"" UFR 1400D",8 UFR1400D RSTRNR GLAND DOM,,,,,,,,,
6533371,"10""",,,"10"" RCPP",10 RCPP RSTRNT CPLG 1110,,,336.01,,,,,94,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533372,"12""",,,"12"" RCPP",12 RCPP RSTRNT CPLG 1320,,,370.75,,,,,106,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533407,"8""",,,"8"" UFR 1400D",8 UFR1400D RSTRNR W/17 R IMP,,,,,,,,,
6533463,"4""",,,"4"" RCDD",4 RCDD CPLG DI-DI NITRILE,,,144.66,,,,,,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533464,"6""",,,"6"" RCDD",6 RCDD CPLG DI-DI NITRILE,,,205.3,,,,,,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533465,"8""",,,"8"" RCDD",8 RCDD CPLG DI-DI NITRILE,,,250.45,,,,,,"pricing as per Ford Meter quote March 18, 2020 #114644"
6533477,"12""",,,"12"" UFR 1500ZA",12 UFR1500ZA RSTRNR PKG IMP,,,,,,,,,
6534017,"8"" x 3""",,,"8"" x 3"" DI CONC RED",8x3 DI FLG CMNT LND CONC RDCR,,,354,,,,,,
6534244,"6"" x 4"" x 4""",,,"6"" x 4"" x 4"" DI TEE",6x4x4 DI FLG DMNT LND TEE,,,,,,,,,
6534248,"6"" x 4"" x 6""",,,"6"" x 4"" x 6"" DI TEE",6x4x6 DI FLG DMNT LND TEE,,,,,,,,,
6535618,"8"" x 4""",,,"8"" x 4"" DI CONC RED",8x4 DI FLG CMNT LND CONC RDCR,,,246.92,,,,,,
6535750,"4"" x 2""",,,"4"" x 2"" DI TEE",4x2 DI FLG DMNT LND TEE,,,165,,,,,,
6535751,"4"" x 3""",,,"4"" x 3"" DI TEE",4x3 DI FLG DMNT LND TEE,,,,,,,,,
6535756,"6"" x 3""",,,"6"" x 3"" DI TEE",6x3 DI FLG DMNT LND TEE,,,,,,,,,
6535757,"6"" x 4""",,,"6"" x 4"" DI TEE",6x4 DI FLG DMNT LND TEE,,,255.96,,,,,,
6535764,"8"" x 6""",,,"8"" x 6"" DI TEE",8x6 DI FLG DMNT LND TEE,,,485.1,,,,,,"TCI September 16, 2019 - Don Blanchard"
6535875,"4"" x 2""",,,"4"" x 2"" DI CONC RED",4x2 DI FLG CMNT LND CONC RDCR,,,118.39,,,,,,
6535876,"4"" x 3""",,,"4"" x 3"" DI CONC RED",4x3 DI FLG CMNT LND CONC RDCR,,,100.35,,,,,,
6535880,"6"" x 2""",,,"6"" x 2"" DI CONC RED",6x2 DI FLG CMNT LND CONC RDCR,,,144.9,,,,,,"TCI July 10, 2019"
6535881,"6"" x 3""",,,"6"" x 3"" DI CONC RED",6x3 DI FLG CMNT LND CONC RDCR,,,165.2,,,,,,
6535882,"6"" x 4""",,,"6"" x 4"" DI CONC RED",6x4 DI FLG CMNT LND CONC RDCR,,,145.49,,,,,,
6535899,"12"" x 10""",,,"12"" x 10"" DI CONC RED",12x10 DI FLG CMNT LND CONC RDCR,,,   ,,,,,,"added June 18, 2019"
6536039,"4""",,,"4"" DI 90",4x90 DI TYT-FLG BEND,,,116,,,,,,sku for econo 90's
6539053,"10""",,,"10"" UFR 1300C",10 UFR1300C RSTRNR SS HDWE IMP,,,   ,,,,,,
6541348,,,,NELSON VLV BOX W/LID,NELSON VLV BOX W/LID WTR,,,116,,,,,,
6543026,,,C22,C22 3 PIECE FRM & CVR,C22 3 PCE FRM & CVR,,,784.94,,,,,,
6543401,,,VC21-51-2121,2121 COLLAR,2121 COLLAR W/ GALV LID,,,1711.3,,,,,2400,
6543402,,,VC31-20-ZZZZ,3152 CHAMBER BOTTOM,3152 CHMBR BTM W/SUMP B&W,,,2218.2,,,,,12500,
6543402,,,,3152 CONCRETE VAULT BOTTOM,3152 CHMBR BTM W/SUMP B&W,,,2056,,,,,6085,
6543403,,,,4212 CONCRETE VAULT BOTTOM,4212 CHMBR BTM W/SUMP B&W,,,3496,,,,,11250,
6543403,,,VC42-20-ZZZZ,4212 CHAMBER BOTTOM,4212 CHMBR BTM W/SUMP B&W,,,3427.2,,,,,22100,
6543404,,,,3152 CONCRETE VAULT TOP,3152 CHMBR TOP 2121 OPEN B&W,,,2664,,,,,7915,
6543404,,,VC31-0T-ZZZZ,3152 CHAMBER TOP,3152 CHMBR TOP 2121 OPEN B&W,,,2201.3,,,,,14500,
6543405,,,,4212 CONCRETE VAULT TOP,4212 CHMBR TOP CUST B&W,,,4448,,,,,14300,
6543405,,,VC42-0T-ZZZZ,4212 CHAMBER TOP,4212 CHMBR TOP CUST B&W,,,3891.5,,,,,25700,
